Predicted Temp.,,Theoritically Calculated Temp.
 May 1st – May 3rd ,,May 1st – May 3rd 
,,
25.0728233283,,24.7562484554
24.1981756235,,23.888468314
23.4133836616,,23.1165220899
22.8521076724,,22.4649243981
21.7486009444,,22.1143880658
22.1720418207,,21.9422737801
24.0673096962,,23.5285419779
27.053307336,,27.3489240327
31.2518198969,,31.7601420144
36.268851857,,36.4249259778
39.5366930534,,40.1274374785
42.1389341118,,42.6504453773
43.0655049494,,44.1356746297
43.5488733207,,44.6087974033
43.7332551827,,44.0214782748
42.9216161426,,42.5863743141
41.5427168599,,40.4088757422
38.8308102356,,37.7240650752
34.5401295166,,34.7418710622
32.4287633754,,32.8711491133
30.7986618735,,31.1954653888
29.394285838,,29.4311932305
27.7767796942,,27.7941856666
26.5561137288,,26.4163626073
24.8646694415,,25.2875769964
24.7755226297,,24.3977108504
24.1300607051,,23.6981577709
23.6379505395,,23.1131371622
22.5100472606,,22.6681353647
22.8832096015,,22.4184815821
24.182424564,,24.2067572083
28.6952632081,,28.4847636227
32.6355918653,,33.0663172026
36.9715076697,,37.2565243386
40.4324709629,,40.167522285
41.2416301657,,42.0384328582
42.1255950245,,42.9627024682
42.144332059,,43.0135412705
42.2769560621,,42.0410226876
40.7411123311,,40.2904516372
37.4186887208,,37.7915517845
34.3385868151,,34.6479190973
31.9658569793,,31.5779516035
29.8974501868,,29.4731004742
27.5533887377,,27.9312933606
26.2739383791,,26.7607451527
26.2858486721,,25.8485532346
25.5518273039,,25.0143457671
24.1742212538,,24.2649466492
23.2817543433,,23.6617694432
22.8602044643,,23.0622798668
22.9685967891,,22.5320964675
22.4314282348,,22.1190210541
22.26772896,,21.9533833101
23.7899510172,,23.6885831112
28.3323632407,,27.8429211743
32.5210697889,,32.362964269
36.7797776283,,37.0329518078
40.2804015869,,40.0695519229
40.374837515,,41.726135646
41.626011461,,42.4224784745
40.7815439154,,42.1866944407
39.577669111,,41.2008608095
39.2666362409,,39.5934587715
37.2692621416,,37.3344560859
34.1498704761,,34.537434782
31.4145780648,,31.7295799657
29.1967999923,,29.9012173369
28.1183166474,,28.4798981652
27.0019602412,,27.2311309068
26.2009861477,,26.1604812704
25.6477400152,,25.1815489947
